baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EFA_00172	10.0924112946428	0.00507623140299315	0.551535119892149	0.00920382260332903	0.99265651572277	0.994388296106096
EFA_00173	2.09556194244767	4.8512332016207	1.5400496242928	3.15004992377984	0.00163242564771001	0.00466802194678827
EFA_00174	47.2933811042793	4.09258572087832	0.403729860105712	10.1369408737979	3.78775674343958e-24	6.17877818773581e-23
EFA_00175	71.3270206430222	0.360685968856046	0.238833210027305	1.51020023059109	0.130992339881975	0.222006498111658
EFA_00176	17.8727163182533	5.48192499401973	0.910827097656212	6.01862308238974	1.75906933314789e-09	1.13775189983261e-08
EFA_00177	0	NA	NA	NA	NA	NA
EFA_00178	0	NA	NA	NA	NA	NA
EFA_00179	0	NA	NA	NA	NA	NA
EFA_00180	0	NA	NA	NA	NA	NA
EFA_00181	3.10023328333343	1.95935864282585	1.08473859383112	1.80629568632357	0.07087216529263	0.132902669206493
EFA_00182	0.711367263365992	0.744282546405321	2.0462341337634	0.363732836885312	0.716057520236225	0.812510209924534
EFA_00183	2.38383608284848	5.06638764594421	1.51378408859966	3.34683637124956	0.000817394436124412	0.0025523632973191
EFA_00184	4.53576215581817	2.94491250866393	0.998650884397487	2.94889090339181	0.00318916534548241	0.0085252269151583
EFA_00185	1.53650525712011	2.24728893506032	1.538139805392	1.46104335066447	0.144003544997672	0.238446359013467
EFA_00186	22.1543954407086	3.26296057995686	0.48076287863455	6.78704767977143	1.14451393326749e-11	9.05206474493376e-11
EFA_00187	1.79592503293979	3.6221706309457	1.65960611020068	2.18254838222287	0.02906908457906	0.0608733346655588
EFA_00188	0.851216346669039	2.44518481215103	1.99582665141206	1.22514889277635	0.220519126364436	0.340565041308389
EFA_00189	1.81408280660098	2.59029753817271	1.47391546746394	1.75742611795074	0.0788452047677054	0.14492917888723
EFA_00190	25.2038584516354	4.21817705783547	0.570236700298575	7.39723882315333	1.39045349057224e-13	1.27539679598495e-12
EFA_00191	9.33537716858721	4.54705575435258	0.987510520706857	4.60456436565133	4.1333016780454e-06	1.84552241332322e-05
EFA_00192	10.8104728983785	4.29272968347126	0.848628354408542	5.05843301272099	4.22715689761442e-07	2.11431488729111e-06
EFA_00193	0	NA	NA	NA	NA	NA
EFA_00194	3.64081460601577	5.66726432840687	1.39798855010853	4.05387034676851	5.03771441616816e-05	0.000192843707850917
EFA_00195	23.7743789565962	1.00520969567288	0.369784424470103	2.71836678116807	0.00656050685067009	0.0164069818538971
EFA_00196	6.46618105014891	1.36783274888836	0.701949474585954	1.94861994831634	0.0513408280648115	0.100408390581794
EFA_00197	13.5249056104078	2.6849836783307	0.568475452844788	4.72313037422178	2.32241860832903e-06	1.0771670152686e-05
EFA_00198	30.8141395567891	3.15899510672502	0.425426642958056	7.42547548211849	1.12375483822994e-13	1.03739554358784e-12
EFA_00199	3.21707120666889	5.49179808855904	1.46299431006643	3.75380686771753	0.000174169077847692	0.000609804173781371
